text,stress
Very stressful day at work,HIGH
Work is tiring today,MEDIUM
Workload is slightly heavy,MEDIUM
I feel completely burned out,HIGH
A bit stressed but okay,MEDIUM
I feel completely burned out,HIGH
Today was a good day,LOW
I feel relaxed today,LOW
Feeling calm and focused,LOW
Deadline stress is killing me,HIGH
Feeling positive and energetic,LOW
Feeling mentally drained,HIGH
Calm and peaceful day,LOW
No stress at all,LOW
Today was a good day,LOW
Deadline stress is killing me,HIGH
Deadlines are approaching,MEDIUM
Work is manageable,LOW
Deadlines are approaching,MEDIUM
Workload is slightly heavy,MEDIUM
Today was a good day,LOW
Workload is slightly heavy,MEDIUM
Workload is slightly heavy,MEDIUM
I can't handle this pressure,HIGH
Work-life balance feels good,LOW
Deadline stress is killing me,HIGH
Workload is slightly heavy,MEDIUM
Work-life balance feels good,LOW
Today was a good day,LOW
Extreme workload and stress,HIGH
Feeling some pressure at work,MEDIUM
Everything is under control,LOW
I feel relaxed today,LOW
Trying to manage stress,MEDIUM
Some stress but manageable,MEDIUM
Work-life balance feels good,LOW
Feeling calm and focused,LOW
Feeling positive and energetic,LOW
Deadlines are approaching,MEDIUM
Trying to manage stress,MEDIUM
Some stress but manageable,MEDIUM
Feeling mentally drained,HIGH
Work is manageable,LOW
Deadlines are approaching,MEDIUM
Feeling uneasy,MEDIUM
I am happy with my work,LOW
Today was a good day,LOW
Very stressful day at work,HIGH
Feeling uneasy,MEDIUM
I can't handle this pressure,HIGH
Deadline stress is killing me,HIGH
I am happy with my work,LOW
I feel relaxed today,LOW
Deadlines are approaching,MEDIUM
Too much pressure at work,HIGH
Everything is under control,LOW
Deadlines are approaching,MEDIUM
Deadlines are approaching,MEDIUM
Feeling some pressure at work,MEDIUM
Work is manageable,LOW
Mentally exhausted,MEDIUM
Work is tiring today,MEDIUM
I am overwhelmed and anxious,HIGH
I am overwhelmed and anxious,HIGH
Mentally exhausted,MEDIUM
Feeling positive and energetic,LOW
Work stress is unbearable,HIGH
Feeling calm and focused,LOW
I am overwhelmed and anxious,HIGH
Too much pressure at work,HIGH
Some stress but manageable,MEDIUM
Workload is slightly heavy,MEDIUM
Work is tiring today,MEDIUM
Feeling positive and energetic,LOW
Feeling some pressure at work,MEDIUM
I can't handle this pressure,HIGH
Feeling uneasy,MEDIUM
Extreme workload and stress,HIGH
I feel completely burned out,HIGH
I am overwhelmed and anxious,HIGH
I feel completely burned out,HIGH
Workload is slightly heavy,MEDIUM
Work is tiring today,MEDIUM
Trying to manage stress,MEDIUM
Trying to manage stress,MEDIUM
Work is manageable,LOW
Workload is slightly heavy,MEDIUM
Workload is slightly heavy,MEDIUM
Feeling positive and energetic,LOW
A bit stressed but okay,MEDIUM
Deadlines are approaching,MEDIUM
Work-life balance feels good,LOW
I am happy with my work,LOW
I am overwhelmed and anxious,HIGH
Feeling calm and focused,LOW
Deadline stress is killing me,HIGH
I can't handle this pressure,HIGH
Work-life balance feels good,LOW
Work stress is unbearable,HIGH
Workload is slightly heavy,MEDIUM
Workload is slightly heavy,MEDIUM
Feeling some pressure at work,MEDIUM
I can't handle this pressure,HIGH
Very stressful day at work,HIGH
I am happy with my work,LOW
Everything is under control,LOW
Feeling positive and energetic,LOW
Work is tiring today,MEDIUM
I am overwhelmed and anxious,HIGH
Work-life balance feels good,LOW
I feel completely burned out,HIGH
Trying to manage stress,MEDIUM
Trying to manage stress,MEDIUM
I am happy with my work,LOW
I am happy with my work,LOW
I am happy with my work,LOW
Very stressful day at work,HIGH
Work is tiring today,MEDIUM
I am overwhelmed and anxious,HIGH
Feeling calm and focused,LOW
I am overwhelmed and anxious,HIGH
A bit stressed but okay,MEDIUM
I am tired and frustrated,MEDIUM
I am happy with my work,LOW
Workload is slightly heavy,MEDIUM
I can't handle this pressure,HIGH
Very stressful day at work,HIGH
Very stressful day at work,HIGH
Extreme workload and stress,HIGH
Feeling calm and focused,LOW
Feeling mentally drained,HIGH
Today was a good day,LOW
Deadline stress is killing me,HIGH
Stress levels are very high,HIGH
Work stress is unbearable,HIGH
Work is manageable,LOW
I am overwhelmed and anxious,HIGH
I am overwhelmed and anxious,HIGH
I feel relaxed today,LOW
I am happy with my work,LOW
I am overwhelmed and anxious,HIGH
Deadline stress is killing me,HIGH
Feeling uneasy,MEDIUM
Work stress is unbearable,HIGH
Everything is under control,LOW
Some stress but manageable,MEDIUM
I am overwhelmed and anxious,HIGH
I am overwhelmed and anxious,HIGH
Too much pressure at work,HIGH
Feeling uneasy,MEDIUM
Mentally exhausted,MEDIUM
No stress at all,LOW
Work is tiring today,MEDIUM
Deadlines are approaching,MEDIUM
A bit stressed but okay,MEDIUM
Extreme workload and stress,HIGH
Deadline stress is killing me,HIGH
Feeling uneasy,MEDIUM
Feeling positive and energetic,LOW
Work-life balance feels good,LOW
Workload is slightly heavy,MEDIUM
Some stress but manageable,MEDIUM
A bit stressed but okay,MEDIUM
I am tired and frustrated,MEDIUM
I feel relaxed today,LOW
Today was a good day,LOW
Feeling mentally drained,HIGH
I feel relaxed today,LOW
Mentally exhausted,MEDIUM
Stress levels are very high,HIGH
Feeling positive and energetic,LOW
Everything is under control,LOW
I feel completely burned out,HIGH
Feeling mentally drained,HIGH
Work is tiring today,MEDIUM
Stress levels are very high,HIGH
I am tired and frustrated,MEDIUM
Work stress is unbearable,HIGH
Feeling mentally drained,HIGH
Calm and peaceful day,LOW
Trying to manage stress,MEDIUM
Stress levels are very high,HIGH
Everything is under control,LOW
Feeling positive and energetic,LOW
Deadlines are approaching,MEDIUM
Calm and peaceful day,LOW
Too much pressure at work,HIGH
Trying to manage stress,MEDIUM
Work is manageable,LOW
Mentally exhausted,MEDIUM
I feel relaxed today,LOW
I am happy with my work,LOW
Deadline stress is killing me,HIGH
Work-life balance feels good,LOW
I am tired and frustrated,MEDIUM
Work-life balance feels good,LOW
Work stress is unbearable,HIGH
Feeling positive and energetic,LOW
Feeling uneasy,MEDIUM
I am overwhelmed and anxious,HIGH
Feeling mentally drained,HIGH
Deadline stress is killing me,HIGH
Deadline stress is killing me,HIGH
Trying to manage stress,MEDIUM
Stress levels are very high,HIGH
Workload is slightly heavy,MEDIUM
Very stressful day at work,HIGH
Very stressful day at work,HIGH
No stress at all,LOW
Deadline stress is killing me,HIGH
I am happy with my work,LOW
Extreme workload and stress,HIGH
Work is manageable,LOW
Trying to manage stress,MEDIUM
Some stress but manageable,MEDIUM
Everything is under control,LOW
Stress levels are very high,HIGH
Work is tiring today,MEDIUM
I am tired and frustrated,MEDIUM
Deadlines are approaching,MEDIUM
A bit stressed but okay,MEDIUM
No stress at all,LOW
Extreme workload and stress,HIGH
I feel completely burned out,HIGH
Today was a good day,LOW
Deadline stress is killing me,HIGH
Work-life balance feels good,LOW
Deadline stress is killing me,HIGH
I am happy with my work,LOW
I can't handle this pressure,HIGH
Work stress is unbearable,HIGH
Work is tiring today,MEDIUM
I can't handle this pressure,HIGH
I feel completely burned out,HIGH
Extreme workload and stress,HIGH
I am overwhelmed and anxious,HIGH
Some stress but manageable,MEDIUM
Everything is under control,LOW
Deadlines are approaching,MEDIUM
No stress at all,LOW
Deadline stress is killing me,HIGH
Feeling some pressure at work,MEDIUM
Today was a good day,LOW
A bit stressed but okay,MEDIUM
Workload is slightly heavy,MEDIUM
A bit stressed but okay,MEDIUM
I am tired and frustrated,MEDIUM
Today was a good day,LOW
A bit stressed but okay,MEDIUM
Deadlines are approaching,MEDIUM
I feel completely burned out,HIGH
Extreme workload and stress,HIGH
A bit stressed but okay,MEDIUM
Feeling calm and focused,LOW
Work is tiring today,MEDIUM
Deadline stress is killing me,HIGH
No stress at all,LOW
Feeling calm and focused,LOW
Extreme workload and stress,HIGH
Work stress is unbearable,HIGH
I feel completely burned out,HIGH
Too much pressure at work,HIGH
Deadlines are approaching,MEDIUM
Feeling uneasy,MEDIUM
Mentally exhausted,MEDIUM
Feeling positive and energetic,LOW
I am happy with my work,LOW
Very stressful day at work,HIGH
Feeling calm and focused,LOW
I am happy with my work,LOW
Work-life balance feels good,LOW
Today was a good day,LOW
I am happy with my work,LOW
Some stress but manageable,MEDIUM
Calm and peaceful day,LOW
Feeling mentally drained,HIGH
No stress at all,LOW
Some stress but manageable,MEDIUM
I feel completely burned out,HIGH
Feeling some pressure at work,MEDIUM
Stress levels are very high,HIGH
Today was a good day,LOW
Today was a good day,LOW
Work is tiring today,MEDIUM
Calm and peaceful day,LOW
Feeling uneasy,MEDIUM
Deadline stress is killing me,HIGH
Very stressful day at work,HIGH
I feel completely burned out,HIGH
Work stress is unbearable,HIGH
Feeling calm and focused,LOW
Feeling some pressure at work,MEDIUM
Very stressful day at work,HIGH
Too much pressure at work,HIGH
Very stressful day at work,HIGH
Work is manageable,LOW
I am overwhelmed and anxious,HIGH
I am happy with my work,LOW
Stress levels are very high,HIGH
Everything is under control,LOW
I feel completely burned out,HIGH
Feeling positive and energetic,LOW
Work is tiring today,MEDIUM
